section_id,document_id,page_number,title_raw,title_canonical,level_hint,bbox,provenance_kind
a4c8e2d1-b7a5-5e73-82df-2cb9203349d8,fab1d4b4-843a-54a1-b5e9-771b22967cd7,1,TILT,tilt,1,"{'page_number': 1, 'left': 21.824535168533263, 'top': 540.093663538863, 'right': 43.690170647731044, 'bottom': 536.5730031384724, 'coord_origin': 'BOTTOMLEFT'}",layout
65cf2dd6-02f9-5a12-8d56-de91e519351a,fab1d4b4-843a-54a1-b5e9-771b22967cd7,1,· BRAIN,brain,1,"{'page_number': 1, 'left': 2.4178255150210274e-07, 'top': 532.6666666904762, 'right': 67.69911528603033, 'bottom': 515.3333333571428, 'coord_origin': 'BOTTOMLEFT'}",layout
f48ea191-2ea1-5b0a-b4c0-85e41b4f5303,fab1d4b4-843a-54a1-b5e9-771b22967cd7,1,3T 20,3t_20,1,"{'page_number': 1, 'left': 16.514655742452238, 'top': 538.7800464207436, 'right': 46.37266760605328, 'bottom': 529.2199534947182, 'coord_origin': 'BOTTOMLEFT'}",layout
38c8dbc4-29f1-55b4-a89a-9788c4a5b563,fab1d4b4-843a-54a1-b5e9-771b22967cd7,1,4T 20,4t_20,1,"{'page_number': 1, 'left': 16.51848220582583, 'top': 539.4061092565577, 'right': 44.36387106708933, 'bottom': 529.2605575750391, 'coord_origin': 'BOTTOMLEFT'}",layout
94c560b1-5f92-5f62-825a-05eabb705945,fab1d4b4-843a-54a1-b5e9-771b22967cd7,1,% L,l,1,"{'page_number': 1, 'left': 1.0257352849449448e-07, 'top': 524.00000005, 'right': 20.51470598492647, 'bottom': 507.33333338333335, 'coord_origin': 'BOTTOMLEFT'}",layout
633193e7-9896-5970-ad2b-25eb25e831db,fab1d4b4-843a-54a1-b5e9-771b22967cd7,1,"A 18,",a_18,1,"{'page_number': 1, 'left': 18.53521106901409, 'top': 523.3333333142857, 'right': 46.33802797042254, 'bottom': 511.3333333142857, 'coord_origin': 'BOTTOMLEFT'}",layout
a24df89e-b48f-5864-ae01-3de8c7f36220,fab1d4b4-843a-54a1-b5e9-771b22967cd7,1,· SESI,sesi,1,"{'page_number': 1, 'left': 3.8143563505972186e-07, 'top': 530.0000000333333, 'right': 61.02970335173267, 'bottom': 510.0000000333333, 'coord_origin': 'BOTTOMLEFT'}",layout
974f8054-70fb-5d24-95fa-02fcc19ed6cf,fab1d4b4-843a-54a1-b5e9-771b22967cd7,1,° CBIC,cbic,1,"{'page_number': 1, 'left': -1.4444444692192823e-07, 'top': 529.4237287033899, 'right': 67.33333318888889, 'bottom': 509.59322022881355, 'coord_origin': 'BOTTOMLEFT'}",layout
9432a636-67b0-5480-bea3-ae93c2c501b7,fab1d4b4-843a-54a1-b5e9-771b22967cd7,1,Unidades residenciais lançadas,unidades_residenciais_lancadas,1,"{'page_number': 1, 'left': 86.97599136, 'top': 513.02198920032, 'right': 504.28414174959374, 'bottom': 479.72860144114645, 'coord_origin': 'BOTTOMLEFT'}",layout
6010275f-1afa-5028-8f24-40d254d337fa,fab1d4b4-843a-54a1-b5e9-771b22967cd7,1,Comparativo Anual,comparativo_anual,1,"{'page_number': 1, 'left': 622.33998048, 'top': 465.6416097792, 'right': 723.0732236600568, 'bottom': 453.33277188096, 'coord_origin': 'BOTTOMLEFT'}",layout
2ec321eb-4f44-5307-9b8f-7c3b81c2e753,fab1d4b4-843a-54a1-b5e9-771b22967cd7,1,Recorde,recorde,1,"{'page_number': 1, 'left': 712.74996096, 'top': 353.2834520064, 'right': 742.9803470675959, 'bottom': 344.33885164032, 'coord_origin': 'BOTTOMLEFT'}",layout
dacbd657-0058-57a2-a86a-144921e5fe99,fab1d4b4-843a-54a1-b5e9-771b22967cd7,1,Resumo Lançamentos 4T 2025,resumo_lancamentos_4t_2025,1,"{'page_number': 1, 'left': 806.0599804799999, 'top': 443.3799668712, 'right': 920.4169173111984, 'bottom': 415.8578330809315, 'coord_origin': 'BOTTOMLEFT'}",layout
